% Mineral-specific absorption coefficient in the range 380 to 2280 nm 
% Wavelength and mineral-specific absorption coefficient
% Martin Hieronymi, HZG, 2015
% Data based on the Hydrolight astarmin_average.txt
% These values are the average of the calcareous sand, red clay, yellow clay, and brown earth spectra
% Adapted to measurements of Roettgers et al. from North Sea and Baltic Sea
% Extrapolated to 2280 nm
% Wavelength Absorption
% wl   	 a_m_star
% [nm] 	 [m^2/g] 
380.0  	 0.1023600
382.5  	 0.1007350
385.0  	 0.0991100
387.5  	 0.0973150
390.0  	 0.0955200
392.5  	 0.0936300
395.0  	 0.0917400
397.5  	 0.0899350
400.0  	 0.0881300
402.5  	 0.0863800
405.0  	 0.0846300
407.5  	 0.0829250
410.0  	 0.0812200
412.5  	 0.0795600
415.0  	 0.0779000
417.5  	 0.0762500
420.0  	 0.0746000
422.5  	 0.0729550
425.0  	 0.0713100
427.5  	 0.0696700
430.0  	 0.0680300
432.5  	 0.0663800
435.0  	 0.0647300
437.5  	 0.0631050
440.0  	 0.0614800
442.5  	 0.0599250
445.0  	 0.0583700
447.5  	 0.0568650
450.0  	 0.0553600
452.5  	 0.0539200
455.0  	 0.0524800
457.5  	 0.0511250
460.0  	 0.0497700
462.5  	 0.0484850
465.0  	 0.0472000
467.5  	 0.0460050
470.0  	 0.0448100
472.5  	 0.0437100
475.0  	 0.0426100
477.5  	 0.0415900
480.0  	 0.0405700
482.5  	 0.0396500
485.0  	 0.0387300
487.5  	 0.0378950
490.0  	 0.0370600
492.5  	 0.0362900
495.0  	 0.0355200
497.5  	 0.0348000
500.0  	 0.0340800
502.5  	 0.0334050
505.0  	 0.0327300
507.5  	 0.0321000
510.0  	 0.0314700
512.5  	 0.0308700
515.0  	 0.0302700
517.5  	 0.0297050
520.0  	 0.0291400
522.5  	 0.0285950
525.0  	 0.0280500
527.5  	 0.0274950
530.0  	 0.0269400
532.5  	 0.0264150
535.0  	 0.0258900
537.5  	 0.0253800
540.0  	 0.0248700
542.5  	 0.0243750
545.0  	 0.0238800
547.5  	 0.0234200
550.0  	 0.0229600
552.5  	 0.0225200
555.0  	 0.0220800
557.5  	 0.0216650
560.0  	 0.0212500
562.5  	 0.0208600
565.0  	 0.0204700
567.5  	 0.0201250
570.0  	 0.0197800
572.5  	 0.0194700
575.0  	 0.0191600
577.5  	 0.0188800
580.0  	 0.0186000
582.5  	 0.0183600
585.0  	 0.0181200
587.5  	 0.0178900
590.0  	 0.0176600
592.5  	 0.0174500
595.0  	 0.0172400
597.5  	 0.0170650
600.0  	 0.0168900
602.5  	 0.0167300
605.0  	 0.0165700
607.5  	 0.0164050
610.0  	 0.0162400
612.5  	 0.0160850
615.0  	 0.0159300
617.5  	 0.0157850
620.0  	 0.0156400
622.5  	 0.0154800
625.0  	 0.0153200
627.5  	 0.0151650
630.0  	 0.0150100
632.5  	 0.0148750
635.0  	 0.0147400
637.5  	 0.0146150
640.0  	 0.0144900
642.5  	 0.0143800
645.0  	 0.0142700
647.5  	 0.0141900
650.0  	 0.0141100
652.5  	 0.0140350
655.0  	 0.0139600
657.5  	 0.0138850
660.0  	 0.0138100
662.5  	 0.0137300
665.0  	 0.0136500
667.5  	 0.0135750
670.0  	 0.0135000
672.5  	 0.0134250
675.0  	 0.0133500
677.5  	 0.0132750
680.0  	 0.0132000
682.5  	 0.0131250
685.0  	 0.0130500
687.5  	 0.0129750
690.0  	 0.0129000
692.5  	 0.0128250
695.0  	 0.0127500
697.5  	 0.0126750
700.0  	 0.0126000
702.5  	 0.0125250
705.0  	 0.0124500
707.5  	 0.0123700
710.0  	 0.0122900
712.5  	 0.0122150
715.0  	 0.0121400
717.5  	 0.0120650
720.0  	 0.0119900
722.5  	 0.0119150
725.0  	 0.0118400
727.5  	 0.0117650
730.0  	 0.0116900
732.5  	 0.0116150
735.0  	 0.0115400
737.5  	 0.0114650
740.0  	 0.0113900
742.5  	 0.0113150
745.0  	 0.0112400
747.5  	 0.0111650
750.0  	 0.0110900
752.5  	 0.0110100
755.0  	 0.0109300
757.5  	 0.0108550
760.0  	 0.0107800
762.5  	 0.0107050
765.0  	 0.0106300
767.5  	 0.0105550
770.0  	 0.0104800
772.5  	 0.0104050
775.0  	 0.0103300
777.5  	 0.0102550
780.0  	 0.0101800
782.5  	 0.0101050
785.0  	 0.0100300
787.5  	 0.0099550
790.0  	 0.0098800
792.5  	 0.0098050
795.0  	 0.0097300
797.5  	 0.0096500
800.0  	 0.0095700
802.5  	 0.0094950
805.0  	 0.0094200
807.5  	 0.0093450
810.0  	 0.0092700
812.5  	 0.0091950
815.0  	 0.0091200
817.5  	 0.0090450
820.0  	 0.0089700
822.5  	 0.0088950
825.0  	 0.0088200
827.5  	 0.0087450
830.0  	 0.0086700
832.5  	 0.0085950
835.0  	 0.0085200
837.5  	 0.0084450
840.0  	 0.0083700
842.5  	 0.0082900
845.0  	 0.0082100
847.5  	 0.0081350
850.0  	 0.0080600
852.5  	 0.0079850
855.0  	 0.0079100
857.5  	 0.0078350
860.0  	 0.0077600
862.5  	 0.0076850
865.0  	 0.0076100
867.5  	 0.0075350
870.0  	 0.0074600
872.5  	 0.0073850
875.0  	 0.0073100
877.5  	 0.0072350
880.0  	 0.0071600
882.5  	 0.0070850
885.0  	 0.0070100
887.5  	 0.0069300
890.0  	 0.0068500
892.5  	 0.0067750
895.0  	 0.0067000
897.5  	 0.0066250
900.0  	 0.0065500
902.5  	 0.0064750
905.0  	 0.0064000
907.5  	 0.0063250
910.0  	 0.0062500
912.5  	 0.0061750
915.0  	 0.0061000
917.5  	 0.0060250
920.0  	 0.0059500
922.5  	 0.0058750
925.0  	 0.0058000
927.5  	 0.0057250
930.0  	 0.0056500
932.5  	 0.0055700
935.0  	 0.0054900
937.5  	 0.0054150
940.0  	 0.0053400
942.5  	 0.0052650
945.0  	 0.0051900
947.5  	 0.0051150
950.0  	 0.0050400
952.5  	 0.0049650
955.0  	 0.0048900
957.5  	 0.0048150
960.0  	 0.0047400
962.5  	 0.0046650
965.0  	 0.0045900
967.5  	 0.0045150
970.0  	 0.0044400
972.5  	 0.0043650
975.0  	 0.0042900
977.5  	 0.0042150
980.0  	 0.0041400
982.5  	 0.0040600
985.0  	 0.0039800
987.5  	 0.0039050
990.0  	 0.0038300
992.5  	 0.0037550
995.0  	 0.0036800
997.5  	 0.0036050
1000.0 	 0.0035300
1002.5 	 0.0034550
1005.0 	 0.0033800
1007.5 	 0.0033050
1010.0 	 0.0032300
1012.5 	 0.0031550
1015.0 	 0.0030800
1017.5 	 0.0030050
1020.0 	 0.0029300
1022.5 	 0.0028550
1025.0 	 0.0027800
1027.5 	 0.0027050
1030.0 	 0.0026300
1032.5 	 0.0025550
1035.0 	 0.0024800
1037.5 	 0.0024050
1040.0 	 0.0023300
1042.5 	 0.0022550
1045.0 	 0.0021800
1047.5 	 0.0021050
1050.0 	 0.0020300
1052.5 	 0.0019550
1055.0 	 0.0018800
1057.5 	 0.0018050
1060.0 	 0.0017300
1062.5 	 0.0016550
1065.0 	 0.0015800
1067.5 	 0.0015050
1070.0 	 0.0014300
1072.5 	 0.0013550
1075.0 	 0.0012800
1077.5 	 0.0012050
1080.0 	 0.0011300
1082.5 	 0.0010550
1085.0 	 0.0009800
1087.5 	 0.0009050
1090.0 	 0.0008300
1092.5 	 0.0007550
1095.0 	 0.0006800
1097.5 	 0.0006050
1100.0 	 0.0005300
1102.5 	 0.0004550
1105.0 	 0.0003800
1107.5 	 0.0003050
1110.0 	 0.0002300
1112.5 	 0.0001550
1115.0 	 0.0000800
1117.5 	 0.0000050
1120.0 	 0.0000000
1122.5 	 0.0000000
1125.0 	 0.0000000
1127.5 	 0.0000000
1130.0 	 0.0000000
1132.5 	 0.0000000
1135.0 	 0.0000000
1137.5 	 0.0000000
1140.0 	 0.0000000
1142.5 	 0.0000000
1145.0 	 0.0000000
1147.5 	 0.0000000
1150.0 	 0.0000000
1152.5 	 0.0000000
1155.0 	 0.0000000
1157.5 	 0.0000000
1160.0 	 0.0000000
1162.5 	 0.0000000
1165.0 	 0.0000000
1167.5 	 0.0000000
1170.0 	 0.0000000
1172.5 	 0.0000000
1175.0 	 0.0000000
1177.5 	 0.0000000
1180.0 	 0.0000000
1182.5 	 0.0000000
1185.0 	 0.0000000
1187.5 	 0.0000000
1190.0 	 0.0000000
1192.5 	 0.0000000
1195.0 	 0.0000000
1197.5 	 0.0000000
1200.0 	 0.0000000
1202.5 	 0.0000000
1205.0 	 0.0000000
1207.5 	 0.0000000
