# Pure water absorption
# Ultraviolet (250–550 nm) absorption spectrum of pure water
# JOHN D. MASON, MICHAEL T. CONE AND EDWARD S. FRY
# 2016
# http://dx.doi.org/10.1364/AO.55.007163
lambda_nm aw.10^3_m-1 sigma.10^3_m-1
250 58.71 17.79
260 51.50 12.44
270 43.57 8.19
280 22.30 3.34
290 9.39 2.00
300 4.67 0.96
302 4.33 1.18
304 3.56 0.87
306 3.13 0.75
308 2.75 0.78
310 2.36 0.64
312 2.05 0.61
314 1.85 0.47
316 1.76 0.54
318 1.63 0.45
320 1.47 0.39
322 1.33 0.35
324 1.24 0.39
326 1.18 0.42
328 1.12 0.40
330 1.07 0.42
332 1.01 0.37
334 0.99 0.37
336 0.95 0.31
338 0.91 0.30
340 0.85 0.26
342 0.82 0.23
344 0.81 0.23
346 0.82 0.23
348 0.84 0.29
350 0.89 0.33
352 0.94 0.36
354 0.97 0.34
356 0.98 0.32
358 0.99 0.31
360 1.06 0.33
362 1.15 0.35
364 1.20 0.35
366 1.21 0.32
368 1.22 0.32
370 1.24 0.33
372 1.27 0.34
374 1.29 0.33
376 1.33 0.31
378 1.37 0.29
380 1.43 0.29
382 1.47 0.28
384 1.51 0.29
386 1.55 0.29
388 1.62 0.31
390 1.70 0.30
392 1.75 0.29
394 1.85 0.28
396 1.96 0.28
398 2.08 0.28
400 2.22 0.27
402 2.37 0.27
404 2.48 0.28
406 2.57 0.29
408 2.59 0.31
410 2.66 0.32
412 2.71 0.29
414 2.80 0.29
416 2.88 0.30
418 3.00 0.31
420 3.12 0.30
422 3.22 0.29
424 3.31 0.29
426 3.44 0.30
428 3.58 0.31
430 3.76 0.31
432 3.95 0.34
434 4.17 0.36
436 4.42 0.38
438 4.80 0.36
440 5.22 0.38
442 5.74 0.40
444 6.26 0.50
446 6.91 0.57
448 7.51 0.55
450 8.08 0.52
452 8.42 0.44
454 8.63 0.48
456 8.77 0.45
458 8.93 0.56
460 9.09 0.52
462 9.33 0.57
464 9.55 0.51
466 9.79 0.51
468 9.99 0.46
470 10.30 0.42
472 10.65 0.45
474 11.00 0.42
476 11.38 0.44
478 11.77 0.46
480 12.14 0.52
482 12.54 0.60
484 12.94 0.55
486 13.36 0.53
488 13.91 0.49
490 14.60 0.54
492 15.45 0.55
494 16.48 0.54
496 17.74 0.58
498 19.26 0.68
500 20.73 0.74
502 22.42 0.85
504 24.24 0.84
506 26.68 0.96
508 29.71 1.06
510 33.00 1.22
512 35.69 1.23
514 37.38 1.23
516 38.21 1.31
518 38.78 1.29
520 39.17 1.29
522 39.62 1.17
524 40.17 1.22
526 40.88 1.18
528 41.62 1.20
530 42.42 1.17
532 43.30 1.25
534 44.36 1.29
536 45.41 1.40
538 46.45 1.36
540 47.54 1.42
542 48.82 1.41
544 50.40 1.50
546 52.24 1.50
548 54.25 1.63
550 56.29 1.84
