lambda_(nm)  bsw
300     0.0226
305     0.0211
310     0.0197
315     0.0185
320     0.0173
325     0.0162
330     0.0152
335     0.0144
340     0.0135
345     0.0127
350     0.0121
355     0.0113
360     0.0107
365     0.0099
370     0.0095
375     0.0089
380     0.0085
385     0.0081
390     0.0077
395     0.0072
400     0.0069
405     0.0065
410     0.0062
415     0.0059
420     0.0056
425     0.0054
430     0.0051
435     0.0049
440     0.0047
445     0.0044
450     0.0043
455     0.0040
460     0.0039
465     0.0037
470     0.0035
475     0.0034
480     0.0033
485     0.0031
490     0.0030
495     0.0029
500     0.0027
