# Numerized from Westberry et al, 2013, "Influence of Raman scattering on ocean color inversion models"
# Ratio between Rrs including Raman and Rrs without Raman
# Sun zenith angle is 30degrees
# wl(nm) chl=0.01 chl=0.02 chl=0.03 chl=0.04 chl=0.07 chl=0.1 chl=0.2 chl=0.3 chl=0.5 chl=0.7 chl=1. chl=2. chl=5.
400 2.215e-02 2.165e-02 2.151e-02 2.072e-02 1.998e-02 1.910e-02 1.849e-02 1.764e-02 1.723e-02 1.668e-02 1.706e-02 1.375e-02 9.126e-03
405 2.966e-02 2.821e-02 2.796e-02 2.729e-02 2.628e-02 2.574e-02 2.506e-02 2.476e-02 2.398e-02 2.401e-02 2.371e-02 1.882e-02 1.281e-02
410 3.179e-02 3.032e-02 2.982e-02 2.901e-02 2.813e-02 2.749e-02 2.667e-02 2.647e-02 2.571e-02 2.568e-02 2.502e-02 1.995e-02 1.412e-02
415 3.365e-02 3.207e-02 3.147e-02 3.067e-02 2.991e-02 2.923e-02 2.825e-02 2.818e-02 2.743e-02 2.735e-02 2.633e-02 2.153e-02 1.483e-02
420 3.551e-02 3.383e-02 3.312e-02 3.232e-02 3.169e-02 3.096e-02 3.003e-02 2.989e-02 2.916e-02 2.901e-02 2.765e-02 2.220e-02 1.495e-02
425 3.671e-02 3.556e-02 3.470e-02 3.387e-02 3.323e-02 3.244e-02 3.146e-02 3.101e-02 3.017e-02 2.977e-02 2.825e-02 2.248e-02 1.506e-02
430 3.671e-02 3.535e-02 3.455e-02 3.377e-02 3.294e-02 3.235e-02 3.155e-02 3.092e-02 2.993e-02 2.930e-02 2.825e-02 2.221e-02 1.506e-02
435 3.669e-02 3.509e-02 3.431e-02 3.357e-02 3.264e-02 3.221e-02 3.156e-02 3.080e-02 2.969e-02 2.883e-02 2.803e-02 2.188e-02 1.489e-02
440 3.447e-02 3.287e-02 3.224e-02 3.131e-02 3.061e-02 3.021e-02 2.953e-02 2.904e-02 2.804e-02 2.748e-02 2.564e-02 1.983e-02 1.333e-02
445 3.226e-02 3.070e-02 3.030e-02 2.929e-02 2.895e-02 2.851e-02 2.794e-02 2.778e-02 2.661e-02 2.627e-02 2.340e-02 1.793e-02 1.187e-02
450 3.345e-02 3.188e-02 3.126e-02 3.044e-02 3.026e-02 2.965e-02 2.897e-02 2.890e-02 2.742e-02 2.654e-02 2.381e-02 1.793e-02 1.143e-02
455 3.465e-02 3.306e-02 3.222e-02 3.158e-02 3.157e-02 3.079e-02 3.000e-02 3.001e-02 2.822e-02 2.680e-02 2.422e-02 1.796e-02 1.127e-02
460 4.086e-02 3.910e-02 3.800e-02 3.707e-02 3.706e-02 3.657e-02 3.586e-02 3.561e-02 3.280e-02 3.039e-02 2.708e-02 2.034e-02 1.304e-02
465 4.725e-02 4.539e-02 4.399e-02 4.281e-02 4.280e-02 4.251e-02 4.183e-02 4.125e-02 3.751e-02 3.408e-02 2.999e-02 2.254e-02 1.420e-02
470 5.168e-02 4.978e-02 4.822e-02 4.695e-02 4.662e-02 4.629e-02 4.478e-02 4.300e-02 3.849e-02 3.444e-02 3.080e-02 2.278e-02 1.437e-02
475 5.582e-02 5.387e-02 5.207e-02 5.067e-02 5.013e-02 4.969e-02 4.728e-02 4.434e-02 3.930e-02 3.480e-02 3.161e-02 2.303e-02 1.414e-02
480 5.996e-02 5.777e-02 5.592e-02 5.438e-02 5.329e-02 5.230e-02 4.853e-02 4.491e-02 3.906e-02 3.516e-02 3.093e-02 2.272e-02 1.391e-02
485 6.410e-02 6.167e-02 5.978e-02 5.809e-02 5.635e-02 5.474e-02 4.925e-02 4.515e-02 3.860e-02 3.544e-02 3.009e-02 2.223e-02 1.368e-02
490 6.723e-02 6.431e-02 6.239e-02 6.092e-02 5.756e-02 5.537e-02 4.896e-02 4.457e-02 3.814e-02 3.464e-02 2.925e-02 2.171e-02 1.315e-02
495 7.037e-02 6.690e-02 6.495e-02 6.372e-02 5.861e-02 5.598e-02 4.870e-02 4.411e-02 3.777e-02 3.388e-02 2.856e-02 2.110e-02 1.253e-02
500 7.916e-02 7.477e-02 7.187e-02 7.027e-02 6.371e-02 6.006e-02 5.114e-02 4.592e-02 3.863e-02 3.393e-02 2.869e-02 2.050e-02 1.190e-02
505 8.805e-02 8.281e-02 7.905e-02 7.717e-02 6.881e-02 6.422e-02 5.365e-02 4.785e-02 3.966e-02 3.412e-02 2.882e-02 2.031e-02 1.205e-02
510 1.018e-01 9.488e-02 9.005e-02 8.689e-02 7.781e-02 7.226e-02 5.986e-02 5.253e-02 4.277e-02 3.663e-02 3.083e-02 2.105e-02 1.219e-02
515 1.153e-01 1.070e-01 1.009e-01 9.652e-02 8.676e-02 8.008e-02 6.598e-02 5.709e-02 4.582e-02 3.896e-02 3.260e-02 2.179e-02 1.233e-02
520 1.216e-01 1.129e-01 1.066e-01 1.016e-01 9.124e-02 8.374e-02 6.852e-02 5.903e-02 4.731e-02 3.987e-02 3.287e-02 2.223e-02 1.247e-02
525 1.279e-01 1.187e-01 1.122e-01 1.066e-01 9.560e-02 8.740e-02 7.107e-02 6.098e-02 4.881e-02 4.078e-02 3.313e-02 2.223e-02 1.236e-02
530 1.307e-01 1.210e-01 1.144e-01 1.086e-01 9.736e-02 8.874e-02 7.249e-02 6.199e-02 4.960e-02 4.142e-02 3.340e-02 2.222e-02 1.224e-02
535 1.335e-01 1.234e-01 1.166e-01 1.107e-01 9.913e-02 9.011e-02 7.386e-02 6.296e-02 5.014e-02 4.187e-02 3.367e-02 2.215e-02 1.212e-02
540 1.383e-01 1.277e-01 1.206e-01 1.144e-01 1.020e-01 9.343e-02 7.523e-02 6.394e-02 5.069e-02 4.233e-02 3.402e-02 2.208e-02 1.200e-02
545 1.432e-01 1.320e-01 1.246e-01 1.180e-01 1.050e-01 9.625e-02 7.660e-02 6.491e-02 5.124e-02 4.278e-02 3.439e-02 2.200e-02 1.188e-02
